Stream,S,D84,D50,Q,h,w,tau,D,Fi,Qsi t/day,qsi,excess_grain_stress,gs_ratio,V_adj,h_adj,Wi_star,Unnamed: 0
Fourth of July Creek,0.018,0.13,0.0515,0.7957034000000001,0.274842991474073,6.57619896138284,53.92419492721311,0.002,0.01,0.07195,0.010940970676604,0.3284611009767069,0.8894083457751931,1.8160298403830204,0.0839670428220611,0.019171486766509,
Fourth of July Creek,0.018,0.13,0.0515,0.7957034000000001,0.274842991474073,6.57619896138284,53.92419492721311,0.0005,0.01,0.39252,0.05968797512134,8.47243616583091,1.2671636091679743,2.096395934986341,0.0736409450460612,0.1045891867350908,
Fourth of July Creek,0.018,0.13,0.0515,0.7957034000000001,0.274842991474073,6.57619896138284,53.92419492721311,0.002,0.01,0.0006,9.123811544075192e-05,0.3284611009767069,0.8894083457751931,1.8160298403830204,0.0839670428220611,0.0001598734129243,
Fourth of July Creek,0.018,0.13,0.0515,0.7957034000000001,0.274842991474073,6.57619896138284,53.92419492721311,0.0005,0.01,0.02553,0.003882181812004,8.47243616583091,1.2671636091679743,2.096395934986341,0.0736409450460612,0.0068026137199298,
Fourth of July Creek,0.018,0.13,0.0515,0.7957034000000001,0.274842991474073,6.57619896138284,53.92419492721311,0.004,0.01,0.00302,0.000459231847718,0.1605899590867769,0.7448707595827047,1.6898369310243355,0.0896291097052964,0.0008046961783849,
Fourth of July Creek,0.018,0.13,0.0515,0.7957034000000001,0.274842991474073,6.57619896138284,53.92419492721311,0.002,0.01,0.01146,0.001742648004918,0.3284611009767069,0.8894083457751931,1.8160298403830204,0.0839670428220611,0.0030535821868538,
Fourth of July Creek,0.018,0.13,0.0515,0.7957034000000001,0.274842991474073,6.57619896138284,53.92419492721311,0.0005,0.01,0.10618,0.016146105162498,8.47243616583091,1.2671636091679743,2.096395934986341,0.0736409450460612,0.0282922649738399,
Fourth of July Creek,0.018,0.13,0.0515,0.9033074,0.285854011621089,6.694016119217429,56.08455708005771,0.002,0.01,0.0013599999999999,0.000203166526011,0.3628458081327751,0.9554560790315142,1.9048582600712023,0.0902024608648274,0.0003356314567038,
Fourth of July Creek,0.018,0.13,0.0515,0.9033074,0.285854011621089,6.694016119217429,56.08455708005771,0.0005,0.01,0.04128,0.006166701613026,9.198059875809667,1.361967684208147,2.199696258720827,0.0791504638088041,0.0101874018622837,
Fourth of July Creek,0.018,0.13,0.0515,0.9033074,0.285854011621089,6.694016119217429,56.08455708005771,0.0005,0.01,0.02812,0.0042007666995709,9.198059875809667,1.361967684208147,2.199696258720827,0.0791504638088041,0.006939673943009,
Fourth of July Creek,0.018,0.13,0.0515,0.6994260999999999,0.264081855104641,6.458529254823151,51.8128599715306,0.002,0.01,0.00237,0.000366956609855,0.2958143016735349,0.8266840124043557,1.729611400971902,0.0780453794925542,0.0006827061452357,
Fourth of July Creek,0.018,0.13,0.0515,0.6994260999999999,0.264081855104641,6.458529254823151,51.8128599715306,0.0005,0.01,0.04816,0.007456806046676,7.7849287535396385,1.1772097312925855,1.99597030796205,0.0684132944653669,0.013873049769858,
Fourth of July Creek,0.018,0.13,0.0515,0.6994260999999999,0.264081855104641,6.458529254823151,51.8128599715306,0.002,0.01,0.00125,0.000193542515746,0.2958143016735349,0.8266840124043557,1.729611400971902,0.0780453794925542,0.0003600770808199,
Fourth of July Creek,0.018,0.13,0.0515,0.6994260999999999,0.264081855104641,6.458529254823151,51.8128599715306,0.0005,0.01,0.0119,0.001842524749905,7.7849287535396385,1.1772097312925855,1.99597030796205,0.0684132944653669,0.0034279338094118,
Fourth of July Creek,0.018,0.13,0.0515,0.5266933000000001,0.241873597830165,6.20708746890818,47.4555998942784,0.004,0.01,0.0042899999999999,0.000691145407808,0.109013210531954,0.5893740415462819,1.4456112382379005,0.0709184377928858,0.0014669444558344,
Fourth of July Creek,0.018,0.13,0.0515,0.5266933000000001,0.241873597830165,6.20708746890818,47.4555998942784,0.002,0.01,0.00128,0.000206215879253,0.231547320878044,0.7031722274489799,1.5527325354951458,0.0663849094895005,0.0004376897210887,
Fourth of July Creek,0.018,0.13,0.0515,0.5266933000000001,0.241873597830165,6.20708746890818,47.4555998942784,0.0005,0.01,0.01303,0.002099213208331,6.43578207486524,1.0003336212096945,1.7906667022136202,0.0581341767505457,0.0044555445826403,
Fourth of July Creek,0.018,0.13,0.0515,0.5380199999999999,0.2434727082952999,6.225604868743807,47.7693453675379,0.0005,0.01,0.00308,0.000494731044603,6.5296812611107375,1.012665277828773,1.8053529788626164,0.0588508283658874,0.0010397302360883,
Fourth of July Creek,0.018,0.13,0.0515,0.6626141999999999,0.259696721361942,6.40982655051222,50.952496731213,0.004,0.01,0.01378,0.002149824163167,0.1362927918431559,0.6716307002192266,1.577167695140197,0.0808162502514105,0.0041013816134259,
Fourth of July Creek,0.018,0.13,0.0515,0.6626141999999999,0.259696721361942,6.40982655051222,50.952496731213,0.002,0.01,0.0024,0.000374425108244,0.282787258835393,0.8016536094576363,1.694519932394596,0.0756823154106124,0.0007143190037899,
Fourth of July Creek,0.018,0.13,0.0515,0.6626141999999999,0.259696721361942,6.40982655051222,50.952496731213,0.0005,0.01,0.04533,0.007071954231956,7.511030620394652,1.1413381666833926,1.9552144928213613,0.0663286260776468,0.0134917001840775,
Fourth of July Creek,0.018,0.13,0.0515,0.6626141999999999,0.259696721361942,6.40982655051222,50.952496731213,0.002,0.01,0.00213,0.000332302283566,0.282787258835393,0.8016536094576363,1.694519932394596,0.0756823154106124,0.0006339581158625,
Fourth of July Creek,0.018,0.13,0.0515,0.6626141999999999,0.259696721361942,6.40982655051222,50.952496731213,0.0005,0.01,0.03225,0.005031337392027,7.511030620394652,1.1413381666833926,1.9552144928213613,0.0663286260776468,0.0095986616134239,
Fourth of July Creek,0.018,0.13,0.0515,0.7560598000000001,0.270527148423174,6.529315205594231,53.0774265206268,0.0005,0.01,0.0056799999999999,0.000869922774617,8.19410679751641,1.230759973471183,2.0560504014039385,0.0715253554596584,0.0015609585078398,
Fourth of July Creek,0.018,0.13,0.0515,0.7560598000000001,0.270527148423174,6.529315205594231,53.0774265206268,0.002,0.01,0.00049,7.504615485252951e-05,0.315252383914526,0.8640326384527138,1.781321373565214,0.0815713793301365,0.000134660152965,
Fourth of July Creek,0.018,0.13,0.0515,0.7560598000000001,0.270527148423174,6.529315205594231,53.0774265206268,0.0005,0.01,0.01647,0.002522469735553,8.19410679751641,1.230759973471183,2.0560504014039385,0.0715253554596584,0.0045262300394578,
Fourth of July Creek,0.018,0.13,0.0515,0.9316243,0.2885997125484489,6.72300582267105,56.6232636020057,0.002,0.01,0.00196,0.000291536263942,0.3715715419644949,0.9722122349390152,1.9270644290447183,0.0917843718816304,0.0004747617074358,
Fourth of July Creek,0.018,0.13,0.0515,0.9316243,0.2885997125484489,6.72300582267105,56.6232636020057,0.0005,0.01,0.05093,0.007575480572731,9.38243539734268,1.3860354694404382,2.2255349059832974,0.0805491580554257,0.012336537632492,
Fourth of July Creek,0.018,0.13,0.0515,0.9316243,0.2885997125484489,6.72300582267105,56.6232636020057,0.002,0.01,0.01155,0.001717981555371,0.3715715419644949,0.9722122349390152,1.9270644290447183,0.0917843718816304,0.0027977029188157,
Fourth of July Creek,0.018,0.13,0.0515,0.9316243,0.2885997125484489,6.72300582267105,56.6232636020057,0.0005,0.01,0.1027599999999999,0.015284829838088,9.38243539734268,1.3860354694404382,2.2255349059832974,0.0805491580554257,0.0248910780898263,
Fourth of July Creek,0.018,0.13,0.0515,0.8410103000000001,0.279597306387459,6.6273813048126,54.8569915132195,0.008,0.0196,0.01573,0.00237348649135,0.080359864830689,0.6433379298693036,1.605039104315873,0.0986660659542866,0.0020680363047211,
Fourth of July Creek,0.018,0.13,0.0515,0.8410103000000001,0.279597306387459,6.6273813048126,54.8569915132195,0.004,0.01,0.0501,0.007559546930493,0.168420686360598,0.7684694079691832,1.7253421628239625,0.0924686974027828,0.0129099105517121,
Fourth of July Creek,0.018,0.13,0.0515,0.8410103000000001,0.279597306387459,6.6273813048126,54.8569915132195,0.002,0.01,0.04239,0.0063961915046619,0.343188667176112,0.9176976568380044,1.854336707247937,0.0866377730942707,0.010923175814112,
Fourth of July Creek,0.018,0.13,0.0515,0.8410103000000001,0.279597306387459,6.6273813048126,54.8569915132195,0.0005,0.01,0.2129199999999999,0.032127320008792,8.78299372410293,1.307758524496431,2.1409337106372828,0.0760001099614861,0.0548658314305466,
Fourth of July Creek,0.018,0.13,0.0515,0.8410103000000001,0.279597306387459,6.6273813048126,54.8569915132195,0.008,0.0196,0.02641,0.00398498272324,0.080359864830689,0.6433379298693036,1.605039104315873,0.0986660659542866,0.003472144870165,
Fourth of July Creek,0.018,0.13,0.0515,0.8410103000000001,0.279597306387459,6.6273813048126,54.8569915132195,0.004,0.01,0.01168,0.001762385392179,0.168420686360598,0.7684694079691832,1.7253421628239625,0.0924686974027828,0.003009735633613,
Fourth of July Creek,0.018,0.13,0.0515,0.8410103000000001,0.279597306387459,6.6273813048126,54.8569915132195,0.002,0.01,0.0889,0.013414046349716,0.343188667176112,0.9176976568380044,1.854336707247937,0.0866377730942707,0.0229080049510401,
Fourth of July Creek,0.018,0.13,0.0515,0.8410103000000001,0.279597306387459,6.6273813048126,54.8569915132195,0.0005,0.01,0.38103,0.057493296745022,8.78299372410293,1.307758524496431,2.1409337106372828,0.0760001099614861,0.0981848945612497,
Fourth of July Creek,0.018,0.13,0.0515,0.6937627,0.263417756184458,6.45118218481786,51.682563763390704,0.002,0.01,0.0019,0.000294519662531,0.293831339293903,0.8228734157480216,1.7242922180347915,0.0776856296272197,0.0005500139003745,
Fourth of July Creek,0.018,0.13,0.0515,0.6937627,0.263417756184458,6.45118218481786,51.682563763390704,0.0005,0.01,0.01788,0.0027715850347679,7.7432135825280275,1.1717478147797808,1.9897917029953505,0.0680958763428328,0.0051759202835295,
Fourth of July Creek,0.018,0.13,0.0515,0.6937627,0.263417756184458,6.45118218481786,51.682563763390704,0.004,0.01,0.031,0.00480532080972,0.142168801147834,0.6893454432411935,1.6047798132554467,0.0829478370069525,0.0089739110061182,
Fourth of July Creek,0.018,0.13,0.0515,0.6937627,0.263417756184458,6.45118218481786,51.682563763390704,0.002,0.01,0.0208199999999999,0.003227315459947,0.293831339293903,0.8228734157480216,1.7242922180347915,0.0776856296272197,0.0060269944241082,
Fourth of July Creek,0.018,0.13,0.0515,0.6937627,0.263417756184458,6.45118218481786,51.682563763390704,0.0005,0.01,0.17951,0.0278259076952529,7.7432135825280275,1.1717478147797808,1.9897917029953505,0.0680958763428328,0.0519647343454288,
Fourth of July Creek,0.018,0.13,0.0515,0.5720003,0.248134777076375,6.279213505960652,48.6840432623848,0.0005,0.01,0.0033399999999999,0.000531913749521,6.806442393082071,1.0489799229864052,1.8482595752547264,0.0609612462859351,0.0010865174408702,
Fourth of July Creek,0.018,0.13,0.0515,0.5720003,0.248134777076375,6.279213505960652,48.6840432623848,0.002,0.01,0.00061,9.71459243137611e-05,0.249231477137595,0.7371644691225151,1.6023785021736925,0.0695940406223233,0.0001984358200392,
Fourth of July Creek,0.018,0.13,0.0515,0.5720003,0.248134777076375,6.279213505960652,48.6840432623848,0.0005,0.01,0.00321,0.000511210519749,6.806442393082071,1.0489799229864052,1.8482595752547264,0.0609612462859351,0.0010442278398778,
Fourth of July Creek,0.018,0.13,0.0515,0.3482972,0.2127962281536099,5.8579110379743495,41.750619963738295,0.0005,0.01,0.03293,0.005621457851874,4.816885213637,0.7874662871202535,1.526650042175417,0.045763436667444,0.01445872542891,
Fourth of July Creek,0.018,0.13,0.0515,0.3482972,0.2127962281536099,5.8579110379743495,41.750619963738295,0.0005,0.01,0.00314,0.000536027259486,4.816885213637,0.7874662871202535,1.526650042175417,0.045763436667444,0.0013786941344291,
Fourth of July Creek,0.018,0.13,0.0515,0.15461,0.165473668261637,5.2283305306055095,32.4659337129332,0.0005,0.01,0.00168,0.0003213262799979,2.5619723283743,0.4897872179518125,1.1123884703009688,0.0284638805443089,0.0012052575058679,
Fourth of July Creek,0.018,0.13,0.0515,0.4728912999999999,0.23393521264966,6.11415380800751,45.898088721863296,0.0005,0.01,0.0069999999999999,0.001144884512201,5.97684663042181,0.940068492365838,1.7180053506609132,0.0546318815384079,0.0025547312689448,
Fourth of July Creek,0.018,0.13,0.0515,0.4728912999999999,0.23393521264966,6.11415380800751,45.898088721863296,0.004,0.01,0.00412,0.000673846312895,0.097337280992014,0.5541575051137222,1.3874361080428066,0.0666808881686761,0.0015036418325779,
Fourth of July Creek,0.018,0.13,0.0515,0.4728912999999999,0.23393521264966,6.11415380800751,45.898088721863296,0.002,0.01,0.0083,0.001357505921609,0.209626985402659,0.6610298034744999,1.490056972419655,0.0624063379646218,0.0030291813617471,
Fourth of July Creek,0.018,0.13,0.0515,0.4728912999999999,0.23393521264966,6.11415380800751,45.898088721863296,0.0005,0.01,0.04564,0.007464647019548,5.97684663042181,0.940068492365838,1.7180053506609132,0.0546318815384079,0.0166568478735147,
Fourth of July Creek,0.018,0.13,0.0515,0.5153666,0.240250568813368,6.18822437286533,47.1371616011828,0.002,0.01,0.00351,0.000567206324223,0.2270201795456969,0.694469454327489,1.5398944219014847,0.0655633002401225,0.0012161058231077,
Fourth of July Creek,0.018,0.13,0.0515,0.5153666,0.240250568813368,6.18822437286533,47.1371616011828,0.0005,0.01,0.06271,0.010133763131631,6.3409238026570405,0.987882933811071,1.7757773107146433,0.0574106076866347,0.0217270644350677,
Fourth of July Creek,0.018,0.13,0.0515,0.5153666,0.240250568813368,6.18822437286533,47.1371616011828,0.0005,0.01,0.02214,0.003577762968176,6.3409238026570405,0.987882933811071,1.7757773107146433,0.0574106076866347,0.0076708213457568,
Fourth of July Creek,0.018,0.13,0.0515,0.7249113,0.267025194517278,6.49097080885535,52.390343164289895,0.002,0.01,0.0018399999999999,0.000283470694012,0.3046478300054099,0.843657861532982,1.7532065535434036,0.0796478424370596,0.0005186886528576,
Fourth of July Creek,0.018,0.13,0.0515,0.7249113,0.267025194517278,6.49097080885535,52.390343164289895,0.0005,0.01,0.01231,0.001896480567006,7.970817353355759,1.2015430028739675,2.023381274942313,0.0698274173949955,0.0034701398460237,
Fourth of July Creek,0.018,0.13,0.0515,0.7249113,0.267025194517278,6.49097080885535,52.390343164289895,0.0005,0.01,0.03103,0.004780486758262,7.970817353355759,1.2015430028739675,2.023381274942313,0.0698274173949955,0.0087472330968426,
Fourth of July Creek,0.018,0.13,0.0515,1.271426,0.3177759063090219,7.02215686307542,62.3476328178301,0.004,0.01,0.00881,0.001254600284754,0.234641162089087,0.9679361966254812,2.012281187998758,0.116470217737739,0.0017682793413496,
Fourth of July Creek,0.018,0.13,0.0515,1.271426,0.3177759063090219,7.02215686307542,62.3476328178301,0.002,0.01,0.02249,0.0032027196826459,0.4678541005632551,1.1570623264640965,2.164179849750006,0.1092356535392364,0.0045140297828538,
Fourth of July Creek,0.018,0.13,0.0515,1.271426,0.3177759063090219,7.02215686307542,62.3476328178301,0.0005,0.01,0.2726099999999999,0.038821405632999,11.423676812385096,1.651935797176882,2.5017675612829224,0.0960018993438425,0.0547163032060409,
Fourth of July Creek,0.018,0.13,0.0515,1.934041,0.3618598809667879,7.446890517521028,70.99690864568379,0.008,0.0196,0.01091,0.001465041009309,0.1595999268843879,1.0175731644160937,2.1788965424981384,0.1560609693477689,0.0008669818318124,
Fourth of July Creek,0.018,0.13,0.0515,1.934041,0.3618598809667879,7.446890517521028,70.99690864568379,0.004,0.01,0.0039299999999999,0.000527737045516,0.317851704689061,1.218341626031917,2.3458679850978044,0.1466011034173498,0.0006121161919412,
Fourth of July Creek,0.018,0.13,0.0515,1.934041,0.3618598809667879,7.446890517521028,70.99690864568379,0.002,0.01,0.01789,0.002402344973101,0.6248224508036421,1.4581746449258073,2.5250028642427,0.1376629907220104,0.0027864525887622,
Fourth of July Creek,0.018,0.13,0.0515,1.934041,0.3618598809667879,7.446890517521028,70.99690864568379,0.0005,0.01,0.40363,0.054201145975,14.7770255831903,2.086567576806245,2.9232984109819147,0.1212604332595801,0.0628672922527732,
Fourth of July Creek,0.018,0.13,0.0515,1.934041,0.3618598809667879,7.446890517521028,70.99690864568379,0.0226,0.0882,0.3087,0.0414535434989529,0.054885322181356,0.7763855833590392,1.9497505493134957,0.1712626168413011,0.0054514164676734,
Fourth of July Creek,0.018,0.13,0.0515,1.934041,0.3618598809667879,7.446890517521028,70.99690864568379,0.008,0.0196,0.0920899999999999,0.012366235247226,0.1595999268843879,1.0175731644160937,2.1788965424981384,0.1560609693477689,0.0073180895409338,
Fourth of July Creek,0.018,0.13,0.0515,1.934041,0.3618598809667879,7.446890517521028,70.99690864568379,0.004,0.01,0.11597,0.015572942790974,0.317851704689061,1.218341626031917,2.3458679850978044,0.1466011034173498,0.0180628790787459,
Fourth of July Creek,0.018,0.13,0.0515,1.934041,0.3618598809667879,7.446890517521028,70.99690864568379,0.002,0.01,0.17908,0.0240476208934,0.6248224508036421,1.4581746449258073,2.5250028642427,0.1376629907220104,0.0278925617437422,
Fourth of July Creek,0.018,0.13,0.0515,1.934041,0.3618598809667879,7.446890517521028,70.99690864568379,0.0005,0.01,1.31837,0.177036307556576,14.7770255831903,2.086567576806245,2.9232984109819147,0.1212604332595801,0.2053423979567642,
Fourth of July Creek,0.018,0.13,0.0515,2.37862,0.3858068097667739,7.665761153192,75.69529607624109,0.008,0.0196,0.12002,0.015656631820576,0.184927967599087,1.1370404427250187,2.3462635173429445,0.1743831695690463,0.0084161675801925,
Fourth of July Creek,0.018,0.13,0.0515,2.37862,0.3858068097667739,7.665761153192,75.69529607624109,0.004,0.01,0.10802,0.0140912295388989,0.365744544205501,1.3623497493903205,2.5272600021731058,0.1639293710676669,0.0148463944937871,
Fourth of July Creek,0.018,0.13,0.0515,2.37862,0.3858068097667739,7.665761153192,75.69529607624109,0.002,0.01,0.22289,0.029076042880255,0.715320688678723,1.6316448840739968,2.721484985147009,0.1540399260949452,0.0306342609583428,
Fourth of July Creek,0.018,0.13,0.0515,2.37862,0.3858068097667739,7.665761153192,75.69529607624109,0.0005,0.01,1.26365,0.1648433827701269,16.7243863920245,2.337770667155497,3.153451220832497,0.135859047706815,0.1736775264031997,
Fourth of July Creek,0.018,0.13,0.0515,2.37862,0.3858068097667739,7.665761153192,75.69529607624109,0.016,0.0882,0.04867,0.006349010754103,0.092116674518773,0.9485931678703504,2.1776170466230376,0.185425366384944,0.0007584196636263,
Fourth of July Creek,0.018,0.13,0.0515,2.37862,0.3858068097667739,7.665761153192,75.69529607624109,0.008,0.0196,0.12365,0.016130166010783,0.184927967599087,1.1370404427250187,2.3462635173429445,0.1743831695690463,0.0086707142250523,
Fourth of July Creek,0.018,0.13,0.0515,2.37862,0.3858068097667739,7.665761153192,75.69529607624109,0.004,0.01,0.09734,0.012698021508206,0.365744544205501,1.3623497493903205,2.5272600021731058,0.1639293710676669,0.0133785228663695,
Fourth of July Creek,0.018,0.13,0.0515,2.37862,0.3858068097667739,7.665761153192,75.69529607624109,0.002,0.01,0.12365,0.016130166010783,0.715320688678723,1.6316448840739968,2.721484985147009,0.1540399260949452,0.0169945998811026,
Fourth of July Creek,0.018,0.13,0.0515,2.37862,0.3858068097667739,7.665761153192,75.69529607624109,0.0005,0.01,0.92211,0.120289424829788,16.7243863920245,2.337770667155497,3.153451220832497,0.135859047706815,0.1267358713818339,
Fourth of July Creek,0.018,0.13,0.0515,2.146417,0.373726481832444,7.55630967826455,73.3251357355255,0.008,0.0196,0.10484,0.013874497534368,0.1720377055475419,1.0762484661934404,2.2618712302642057,0.1650597566510878,0.0078227116880305,
Fourth of July Creek,0.018,0.13,0.0515,2.146417,0.373726481832444,7.55630967826455,73.3251357355255,0.004,0.01,0.19471,0.0257678692761989,0.3413628805532069,1.2890467354432766,2.4357719345318065,0.1551089363892146,0.0284757151644572,
Fourth of July Creek,0.018,0.13,0.0515,2.146417,0.373726481832444,7.55630967826455,73.3251357355255,0.002,0.01,0.1636,0.021650780204336,0.669235255482266,1.543318538545387,2.6223615120604964,0.1457012343426738,0.0239259770987897,
Fourth of July Creek,0.018,0.13,0.0515,2.146417,0.373726481832444,7.55630967826455,73.3251357355255,0.0005,0.01,0.68897,0.091178105362965,15.7314489806863,2.209791580307952,3.0372862479647176,0.1284215701519053,0.100759660401912,
Fourth of July Creek,0.018,0.13,0.0515,2.146417,0.373726481832444,7.55630967826455,73.3251357355255,0.008,0.0196,0.04,0.005293589292014,0.1720377055475419,1.0762484661934404,2.2618712302642057,0.1650597566510878,0.0029846286486192,
Fourth of July Creek,0.018,0.13,0.0515,2.146417,0.373726481832444,7.55630967826455,73.3251357355255,0.004,0.01,0.1223099999999999,0.016186472657655,0.3413628805532069,1.2890467354432766,2.4357719345318065,0.1551089363892146,0.0178874465706173,
Fourth of July Creek,0.018,0.13,0.0515,2.146417,0.373726481832444,7.55630967826455,73.3251357355255,0.002,0.01,0.20461,0.027078032625973,0.669235255482266,1.543318538545387,2.6223615120604964,0.1457012343426738,0.0299235585219031,
Fourth of July Creek,0.018,0.13,0.0515,2.146417,0.373726481832444,7.55630967826455,73.3251357355255,0.0005,0.01,0.77613,0.102712836430263,15.7314489806863,2.209791580307952,3.0372862479647176,0.1284215701519053,0.1135065318195803,
Fourth of July Creek,0.018,0.13,0.0515,1.744318,0.3504721264561189,7.340022091291519,68.7626312106906,0.004,0.01,0.01132,0.001542229690757,0.295716377258409,1.1517541025144464,2.2595954513863927,0.1385887329845314,0.0018767039790083,
Fourth of July Creek,0.018,0.13,0.0515,1.744318,0.3504721264561189,7.340022091291519,68.7626312106906,0.002,0.01,0.03841,0.005232954277559,0.583032278698319,1.3780385004504252,2.431623961978448,0.1300975174422487,0.0063678621761219,
Fourth of July Creek,0.018,0.13,0.0515,1.744318,0.3504721264561189,7.340022091291519,68.7626312106906,0.0005,0.01,0.29319,0.0399440214693429,13.8812238162417,1.970718323200884,2.814067759144214,0.1145278783971647,0.0486069646294488,
Fourth of July Creek,0.018,0.13,0.0515,1.744318,0.3504721264561189,7.340022091291519,68.7626312106906,0.008,0.0196,0.07226,0.0098446570189119,0.147882864661811,0.9622818822904908,2.0992349694151566,0.14758117508162,0.0061121110155009,
Fourth of July Creek,0.018,0.13,0.0515,1.744318,0.3504721264561189,7.340022091291519,68.7626312106906,0.004,0.01,0.2241199999999999,0.030533968047032,0.295716377258409,1.1517541025144464,2.2595954513863927,0.1385887329845314,0.0371560861992302,
Fourth of July Creek,0.018,0.13,0.0515,1.744318,0.3504721264561189,7.340022091291519,68.7626312106906,0.002,0.01,0.34659,0.047219203932807,0.583032278698319,1.3780385004504252,2.431623961978448,0.1300975174422487,0.0574599674986215,
Fourth of July Creek,0.018,0.13,0.0515,1.744318,0.3504721264561189,7.340022091291519,68.7626312106906,0.0005,0.01,0.58173,0.079254529859002,13.8812238162417,1.970718323200884,2.814067759144214,0.1145278783971647,0.0964430217056831,
Fourth of July Creek,0.018,0.13,0.0515,1.463981,0.3319619766103689,7.16217182716562,65.1309398109544,0.004,0.01,0.0049299999999999,0.000688338693761,0.260673138786247,1.046301518535766,2.1194772061582188,0.12589979185409,0.0009086499582241,
Fourth of July Creek,0.018,0.13,0.0515,1.463981,0.3319619766103689,7.16217182716562,65.1309398109544,0.002,0.01,0.0087099999999999,0.0012161115664609,0.516923634154346,1.2512251983677711,2.280057685983253,0.1181253586279523,0.0016053430296397,
Fourth of July Creek,0.018,0.13,0.0515,1.463981,0.3319619766103689,7.16217182716562,65.1309398109544,0.0005,0.01,0.27666,0.038627947873388,12.4685997981553,1.787653219547067,2.636981184686396,0.1038890886304084,0.0509912976556051,
Fourth of July Creek,0.018,0.13,0.0515,1.463981,0.3319619766103689,7.16217182716562,65.1309398109544,0.004,0.01,0.06253,0.008730591992059,0.260673138786247,1.046301518535766,2.1194772061582188,0.12589979185409,0.0115249253321951,
Fourth of July Creek,0.018,0.13,0.0515,1.463981,0.3319619766103689,7.16217182716562,65.1309398109544,0.002,0.01,0.13429,0.018749899226188,0.516923634154346,1.2512251983677711,2.280057685983253,0.1181253586279523,0.0247510350689332,
Fourth of July Creek,0.018,0.13,0.0515,1.463981,0.3319619766103689,7.16217182716562,65.1309398109544,0.0005,0.01,0.8283,0.115649277898963,12.4685997981553,1.787653219547067,2.636981184686396,0.1038890886304084,0.1526642516017403,
Fourth of July Creek,0.018,0.13,0.0515,1.308238,0.3205973332102019,7.05027278289117,62.9011967758416,0.008,0.0196,0.0038399999999999,0.000544659776756,0.1182310449707,0.8222887859473766,1.8903508837144216,0.1261110154102626,0.0003865060661729,
